form_number,revision,title,statute,published,filename,size_bytes,status,pdf_url,detail_url
AOC-CR-606,,Extraordinary Mitigation Findings (Structured Sentencing),15A-1340.13,"October 1, 1994",AOC-CR-606 - Extraordinary Mitigation Findings (Structured Sentencing).pdf,135350,downloaded,https://www.nccourts.gov/assets/documents/forms/aoc-cr-606-en.pdf?VersionId=Njq2WM47hoCTCLG3UGhqIWM5lIYfnaQl,https://www.nccourts.gov/documents/forms/extraordinary-mitigation-findings-structured-sentencing
AOC-CR-600B,,Bảng Tính Mức Hồ Sơ Tiền Án Khi Tuyên Án Tội Đại Hình Và Mức Tái Phạm Khi Tuyên Án Tội Tiểu Hình (Tuyên Án Theo Khung Phạt),"15A-1340.14,15A-1340.21","July 18, 2018",AOC-CR-600B - Bảng Tính Mức Hồ Sơ Tiền Án Khi Tuyên Án Tội Đại Hình Và Mức Tái Phạm Khi Tuyên Án Tội Tiểu Hình (Tuyên Án Theo Khung Ph.pdf,290292,downloaded,https://www.nccourts.gov/assets/documents/forms/cr600b_0.pdf?VersionId=mCejCMEsfHz7805Z6.IU8CCJ0MngnWnw,https://www.nccourts.gov/documents/forms/worksheet-prior-record-level-for-felony-sentencing-and-prior-conviction-level-for-misdemeanor-sentencing-structured-sentencing-for-offenses-committed-on-or-after-dec-1-2009
AOC-CR-629,,Judgment - Class 3 Misdemeanor Fewer Than Four Prior Convictions (Structured Sentencing) (For Offenses Committed On or After Dec,15A-1340.23(d),"November 30, 2017",AOC-CR-629 - Judgment - Class 3 Misdemeanor Fewer Than Four Prior Convictions (Structured Sentencing) (For Offenses Committed On or A.pdf,335758,downloaded,https://www.nccourts.gov/assets/documents/forms/cr629-en.pdf?VersionId=_baVfakF0uzPekztny3.MH2UXqet8c09,https://www.nccourts.gov/documents/forms/judgment-class-3-misdemeanor-fewer-than-four-prior-convictions-structured-sentencing-for-offenses-committed-on-or-after-dec-1-2013
AOC-CR-924B,,Application And Order For Release Of Seized Motor Vehicle Declared A Total Loss - Felony Speeding To Elude,20-28.3(h),"December 1, 2013",AOC-CR-924B - Application And Order For Release Of Seized Motor Vehicle Declared A Total Loss - Felony Speeding To Elude.pdf,142225,downloaded,https://www.nccourts.gov/assets/documents/forms/cr924b.pdf?VersionId=A0lnuNiNamKLB5KRd678IUwLm5Mpc06d,https://www.nccourts.gov/documents/forms/application-and-order-for-release-of-seized-motor-vehicle-declared-a-total-loss-felony-speeding-to-elude
AOC-CR-336B,,Order Releasing Seized Motor Vehicle to Defendant-Owner Or Non-Defendant Motor Vehicle Owner After Disposition Of Criminal Charg,20-28.4,"December 1, 2013",AOC-CR-336B - Order Releasing Seized Motor Vehicle to Defendant-Owner Or Non-Defendant Motor Vehicle Owner After Disposition Of Crimin.pdf,136749,downloaded,https://www.nccourts.gov/assets/documents/forms/cr336b.pdf?VersionId=jwg0RGuNm3_ufxYeFM3btPC7hhZ2WtaM,https://www.nccourts.gov/documents/forms/order-releasing-seized-motor-vehicle-to-defendant-owner-or-non-defendant-motor-vehicle-owner-after-disposition-of-criminal-charges-felony-speeding-to-elude
AOC-CR-335B,,Order Forfeiting Motor Vehicle After Hearing - Felony Speeding To Elude,"20-28.2(b2),20-28.2(d),20-28.5","December 1, 2013",AOC-CR-335B - Order Forfeiting Motor Vehicle After Hearing - Felony Speeding To Elude.pdf,401921,downloaded,https://www.nccourts.gov/assets/documents/forms/cr335b-en.pdf?VersionId=MiLByCUHs9VXfcJoiihO8k0nCCvQGD0.,https://www.nccourts.gov/documents/forms/order-forfeiting-motor-vehicle-after-hearing-felony-speeding-to-elude
AOC-CR-334B,,Lienholder's Petition For Release Of Seized Motor Vehicle Notice Of Hearing/Waiver And Order - Felony Speeding To Elude,"20-28.2(d),20-28.2(f),20-28.3(e3)","December 1, 2013",AOC-CR-334B - Lienholder's Petition For Release Of Seized Motor Vehicle Notice Of HearingWaiver And Order - Felony Speeding To Elude.pdf,208908,downloaded,https://www.nccourts.gov/assets/documents/forms/cr334b-en.pdf?VersionId=Np_nvSzQlXfbmSkSMlqTGXiL6TeWYF.b,https://www.nccourts.gov/documents/forms/lienholders-petition-for-release-of-seized-motor-vehicle-notice-of-hearingwaiver-and-order-felony-speeding-to-elude
AOC-CR-333B,,Defendant Owner's Petition For Temporary Release Of Seized Vehicle And Order - Felony Speeding To Elude,20-28.3(e2)(2),"December 1, 2013",AOC-CR-333B - Defendant Owner's Petition For Temporary Release Of Seized Vehicle And Order - Felony Speeding To Elude.pdf,166224,downloaded,https://www.nccourts.gov/assets/documents/forms/cr333b.pdf?VersionId=NRBaTOkoje7uUeQx_cv7V_HJltC4f4Tj,https://www.nccourts.gov/documents/forms/defendant-owners-petition-for-temporary-release-of-seized-vehicle-and-order-felony-speeding-to-elude
AOC-CR-332B,,Order On Non-Defendant Owner's Petition/Application For Release Of Seized Motor Vehicle - Felony Speeding To Elude,"20-28.2(e),20-28.3(e),20-28.3(e1)","December 1, 2013",AOC-CR-332B - Order On Non-Defendant Owner's PetitionApplication For Release Of Seized Motor Vehicle - Felony Speeding To Elude.pdf,208159,downloaded,https://www.nccourts.gov/assets/documents/forms/cr332b.pdf?VersionId=_Xi2QR0rB9pjj1qpVMkobXJf2hOSeAx0,https://www.nccourts.gov/documents/forms/order-on-non-defendant-owners-petitionapplication-for-release-of-seized-motor-vehicle-felony-speeding-to-elude
AOC-CR-331B,,Bond To Secure Temporary Pretrial Release Of Motor Vehicle - Felony Speeding To Elude,"20-28.3(e),20-(e2)(2)","December 1, 2013",AOC-CR-331B - Bond To Secure Temporary Pretrial Release Of Motor Vehicle - Felony Speeding To Elude.pdf,205640,downloaded,https://www.nccourts.gov/assets/documents/forms/cr331b.pdf?VersionId=TUcUgM81rokZ9xpZNMwWzIjzi5D9S9gd,https://www.nccourts.gov/documents/forms/bond-to-secure-temporary-pretrial-release-of-motor-vehicle-felony-speeding-to-elude
AOC-CR-330B,,Non-Defendant Owner's Petition/Application For Release Of Seized Motor Vehicle Acknowledgment - Felony Speeding To Elude,"20-28.2(e),20-28.3(e),20-28.3(e1)","December 1, 2013",AOC-CR-330B - Non-Defendant Owner's PetitionApplication For Release Of Seized Motor Vehicle Acknowledgment - Felony Speeding To Elude.pdf,156902,downloaded,https://www.nccourts.gov/assets/documents/forms/cr330b.pdf?VersionId=PVaqvnk4HXZRIhWoDsQkaTcMWfsvQ3pj,https://www.nccourts.gov/documents/forms/non-defendant-owners-petitionapplication-for-release-of-seized-motor-vehicle-acknowledgment-felony-speeding-to-elude
